"","state","date","admission","maskwearing","delphi_samplesize","maskwearing_stderr","symptom","symptoms_stderr"
"186","mt",2021-05-04,15,69.0732554,829.3482,1.6049208,NA,NA
"187","nc",2021-05-04,116.1428571,85.771145,5107.0065,0.4888463,NA,NA
"188","nd",2021-05-04,10.4285714,65.3140252,443.6837,2.2596618,NA,NA
"189","ne",2021-05-04,14,78.2458775,1193.2327,1.1943702,NA,NA
"190","nh",2021-05-04,12,88.0417478,1127.7766,0.9661991,NA,NA
"191","nj",2021-05-04,158.5714286,91.882151,3896.9989,0.4374928,NA,NA
"192","nm",2021-05-04,23.1428571,89.2204202,1669.5137,0.7589935,NA,NA
"193","nv",2021-05-04,46.4285714,87.1152366,1289.1028,0.9331286,NA,NA
"194","ny",2021-05-04,286.8571429,91.5321448,8315.0003,0.305311,NA,NA
"195","oh",2021-05-04,178.4285714,84.2924252,6622.0012,0.447151,NA,NA
"196","ok",2021-05-04,33.5714286,72.7770238,2095.9991,0.9722309,NA,NA
"197","or",2021-05-04,38.1428571,88.2083891,3069.1692,0.5821449,NA,NA
"198","pa",2021-05-04,264.5714286,84.8182718,7346.0032,0.4186776,NA,NA
"199","pr",2021-05-04,26.2857143,NA,NA,NA,NA,NA
"200","ri",2021-05-04,8.1428571,93.5838846,696.989,0.9281617,NA,NA
"201","sc",2021-05-04,44.8571429,78.7617396,2936.0032,0.7548121,NA,NA
"202","sd",2021-05-04,11,67.2416429,648.078,1.8435995,NA,NA
"203","tn",2021-05-04,88.8571429,77.652244,3507.2325,0.7034151,NA,NA
"204","tx",2021-05-04,342.2857143,81.2403755,10551.0209,0.3800588,NA,NA
"205","ut",2021-05-04,23.7142857,78.9514845,1518.1454,1.0462469,NA,NA
"206","va",2021-05-04,90.8571429,89.0839509,4897.1829,0.4456145,NA,NA
"207","vi",2021-05-04,0.2857143,NA,NA,NA,NA,NA
"208","vt",2021-05-04,3,92.1910235,570.0008,1.1238378,NA,NA
"209","wa",2021-05-04,70.8571429,89.7218857,4834.9755,0.4367257,NA,NA
"210","wi",2021-05-04,85.5714286,80.2171843,3547.0049,0.6688779,NA,NA
"211","wv",2021-05-04,34.7142857,83.0990371,1364.0048,1.0147189,NA,NA
"212","wy",2021-05-04,6.5714286,52.8225549,406.7771,2.4751337,NA,NA
"213","ak",2021-05-05,5.7142857,76.8866863,478,1.9281585,NA,NA
"214","al",2021-05-05,66.7142857,73.5412271,2117.0389,0.9587069,NA,NA
"215","ar",2021-05-05,36.7142857,75.3523009,1446.3638,1.1331768,NA,NA
"216","az",2021-05-05,73.5714286,81.4168281,3702.4636,0.6392513,NA,NA
"217","ca",2021-05-05,223.8571429,90.9320249,14408.2047,0.2392262,NA,NA
"218","co",2021-05-05,124.4285714,86.7809314,3250.8733,0.5940357,NA,NA
"219","ct",2021-05-05,61.1428571,91.6730005,2390,0.565153,NA,NA
"220","dc",2021-05-05,12.5714286,92.1936173,277,1.6118902,NA,NA
"221","de",2021-05-05,16,91.9371284,717,1.0167888,NA,NA
"222","fl",2021-05-05,454,81.5110969,10782.9996,0.3738472,NA,NA
"223","ga",2021-05-05,192.8571429,78.3208462,3759.965,0.6719979,NA,NA
"224","hi",2021-05-05,6.8571429,92.0493777,723,1.0061016,NA,NA
"225","ia",2021-05-05,33.2857143,76.6171997,2293.6694,0.8837837,NA,NA
"226","id",2021-05-05,13.7142857,66.3074166,1151.8587,1.3926712,NA,NA
"227","il",2021-05-05,233.7142857,87.3395469,6781.0009,0.4038157,NA,NA
"228","in",2021-05-05,106.2857143,79.9689086,3650.0008,0.6624703,NA,NA
"229","ks",2021-05-05,25.1428571,76.4593159,1679.0864,1.0353525,NA,NA
"230","ky",2021-05-05,120.7142857,83.5817314,2315.4547,0.7698413,NA,NA
"231","la",2021-05-05,49.1428571,73.9234882,1966.9994,0.9899514,NA,NA
"232","ma",2021-05-05,67,92.4831875,3263.0105,0.4615715,NA,NA
"233","md",2021-05-05,111.1428571,92.028859,2673.9984,0.5237713,NA,NA
"234","me",2021-05-05,14.1428571,89.8615026,1317.2234,0.8316564,NA,NA
"235","mi",2021-05-05,333,89.0271142,8042.9942,0.348508,NA,NA
