"","state","state_full","date","finances_prop","symptom_prop","maskwearing_prop","admission_prop","depression_prop"
"212","DC","District of Columbia",2021-05-05,26.3416607,0.3093445,92.1936173,0,7.9479057
"213","DE","District of Columbia",2021-05-05,40.8286387,0.4689902,91.9371284,0,11.9305198
"214","FL","District of Columbia",2021-05-05,39.8731124,0.8601029,81.5110969,0.0249781,8.8958803
"215","GA","District of Columbia",2021-05-05,39.4873238,0.7284692,78.3208462,0.0253435,9.7887016
"216","HI","District of Columbia",2021-05-05,42.3357928,0.4941221,92.0493777,0,7.8973874
"217","IA","District of Columbia",2021-05-05,31.8787021,0.6358018,76.6171997,0.0135471,9.4200946
"218","ID","District of Columbia",2021-05-05,36.1706888,0.6307928,66.3074166,0,12.1881249
"219","IL","District of Columbia",2021-05-05,37.2238985,0.9827489,87.3395469,0.0011349,9.5223427
"220","IN","District of Columbia",2021-05-05,37.4392178,1.5030306,79.9689086,0.0126891,11.7418594
"221","KS","District of Columbia",2021-05-05,33.8445889,0.7268019,76.4593159,0.0441249,11.471568
"222","KY","District of Columbia",2021-05-05,40.3285317,1.225113,83.5817314,0.0127629,13.4429927
"223","LA","District of Columbia",2021-05-05,44.8478497,1.4997922,73.9234882,0.0123012,12.1601675
"224","MA","District of Columbia",2021-05-05,33.6236624,0.6379406,92.4831875,0.006217,10.8090502
"225","MD","District of Columbia",2021-05-05,35.7287609,0.7597383,92.028859,0.007077,7.8626145
"226","ME","District of Columbia",2021-05-05,34.742818,0.3848902,89.8615026,0.0105809,13.5431599
"227","MI","District of Columbia",2021-05-05,34.824816,1.1884098,89.0271142,0.0043001,12.0163755
"228","MN","District of Columbia",2021-05-05,29.0440097,0.7075432,86.703037,0.0050503,9.4408075
"229","MO","District of Columbia",2021-05-05,34.0188446,0.8531409,75.5747846,0.0092892,12.7264507
"230","MS","District of Columbia",2021-05-05,45.126598,0.8071527,73.1185908,0.0288913,10.8551317
"231","MT","District of Columbia",2021-05-05,31.7341716,0.8746251,68.6950498,0,8.356618
"232","NC","District of Columbia",2021-05-05,36.1329659,0.8268681,85.4184084,0.0768134,9.6590671
"233","ND","District of Columbia",2021-05-05,33.7491217,1.6287581,62.9228843,0,10.6149628
"234","NE","District of Columbia",2021-05-05,34.1848493,0.6865554,78.0667332,0,12.6028533
"235","NH","District of Columbia",2021-05-05,30.0490601,0.6943187,87.3920984,0.0313679,11.5551244
"236","NJ","District of Columbia",2021-05-05,38.9176766,0.8547807,91.5748715,0.0144749,9.6586435
"237","NM","District of Columbia",2021-05-05,39.2137839,0.8800715,89.1972556,0,11.7848443
"238","NV","District of Columbia",2021-05-05,41.7299185,0.6137823,87.8028866,0.0045521,12.1328668
"239","NY","District of Columbia",2021-05-05,42.1155111,0.5972667,91.7494548,0.010343,10.7858183
"240","OH","District of Columbia",2021-05-05,35.0225304,1.3133505,84.225695,0.0012217,12.1595011
"241","OK","District of Columbia",2021-05-05,42.9040118,0.7967586,72.4171887,0.021532,12.3738378
"242","OR","District of Columbia",2021-05-05,34.4044357,0.8406371,88.6425695,0.0033681,14.0043493
"243","PA","District of Columbia",2021-05-05,35.065669,1.0989585,84.8204843,0.016763,10.8080563
"244","RI","District of Columbia",2021-05-05,39.7878979,0.401159,93.1521724,0,13.9103778
"245","SC","District of Columbia",2021-05-05,37.332961,1.4617929,78.4244773,0.0082133,9.0020117
"246","SD","District of Columbia",2021-05-05,34.6046528,1.806767,65.7265336,0.032005,8.5860929
"247","TN","District of Columbia",2021-05-05,39.6434976,1.433125,77.7230366,0.0248922,11.0332
"248","TX","District of Columbia",2021-05-05,44.3223273,1.0147385,81.4657325,0.0141102,10.2699297
"249","UT","District of Columbia",2021-05-05,33.7762019,0.7470231,78.7679561,0,13.4851486
"250","VA","District of Columbia",2021-05-05,34.9822866,0.6311644,89.2324026,0.0515516,10.1450285
"251","VT","District of Columbia",2021-05-05,31.3985729,0.3204896,92.6373722,0,14.65864
"252","WA","District of Columbia",2021-05-05,33.471191,0.6601037,89.7863634,0.0037137,12.2661043
"253","WI","District of Columbia",2021-05-05,29.9699912,0.7756772,79.9241925,0.0097971,10.7089226
"254","WV","District of Columbia",2021-05-05,41.7400699,1.0809728,83.1984521,0.0320166,11.8714656
"255","WY","District of Columbia",2021-05-05,36.2305537,0.5702096,53.1978787,0.0245321,7.5267934
"256","AK","District of Columbia",2021-05-06,40.8150998,0.7800584,77.8626528,0.1367693,13.5890077
"257","AL","District of Columbia",2021-05-06,36.5133004,0.6555303,74.454741,0.0377351,11.5589463
"258","AR","District of Columbia",2021-05-06,41.7284433,0.9847921,75.3382862,0.0235697,13.4387713
"259","AZ","District of Columbia",2021-05-06,35.5674818,0.7854235,80.7847837,0.0096247,9.5717543
"260","CA","District of Columbia",2021-05-06,41.1188081,0.6440276,90.9937739,0.0065318,9.6753392
"261","CO","District of Columbia",2021-05-06,33.8414432,0.7413429,86.8684523,0,9.1231387
"262","CT","District of Columbia",2021-05-06,36.3001502,0.7010683,91.7891588,0.0040162,8.8420985
"263","DC","District of Columbia",2021-05-06,25.5332041,0.3037246,91.3144135,0,7.1344283
"264","DE","District of Columbia",2021-05-06,37.9389285,1.0149128,92.1141038,0,10.0849665
"265","FL","District of Columbia",2021-05-06,39.9619251,0.8599667,81.308473,0.0262928,9.4204716
"266","GA","District of Columbia",2021-05-06,39.6151681,0.7855786,77.9416666,0.0293451,9.6654796
"267","HI","District of Columbia",2021-05-06,42.4940084,0.4949502,91.9893809,0,7.8830286
"268","IA","District of Columbia",2021-05-06,31.0160924,0.6527392,77.7274323,0.0135471,9.7265392
"269","ID","District of Columbia",2021-05-06,35.8507921,0.5918566,65.769159,0,12.0044542
"270","IL","District of Columbia",2021-05-06,37.2242655,0.9248284,87.237089,0.0011349,9.6118819
"271","IN","District of Columbia",2021-05-06,37.7988769,1.2399516,80.0507432,0.0105743,12.1814415
"272","KS","District of Columbia",2021-05-06,33.783285,0.6719695,77.7479974,0.0441249,10.4655476
"273","KY","District of Columbia",2021-05-06,40.5056305,1.2270797,83.2900381,0.0095722,13.1763073
"274","LA","District of Columbia",2021-05-06,44.0635699,1.3745328,75.014381,0.0123012,11.6419867
"275","MA","District of Columbia",2021-05-06,33.5346873,0.6131341,92.1988956,0.006217,10.3567388
"276","MD","District of Columbia",2021-05-06,34.7904061,0.9147934,91.8671324,0.0094361,7.3535205
"277","ME","District of Columbia",2021-05-06,35.0086246,0.4564228,90.925009,0.0105809,13.8353559
"278","MI","District of Columbia",2021-05-06,34.9599817,1.1566044,89.104387,0.0043001,12.2403059
"279","MN","District of Columbia",2021-05-06,28.8534716,0.6924577,87.174706,0.0025252,9.2303702
"280","MO","District of Columbia",2021-05-06,34.0972573,0.6492955,75.5627827,0.0069669,11.8687273
"281","MS","District of Columbia",2021-05-06,45.7896022,0.6090615,74.3140044,0.0385217,11.2002376
"282","MT","District of Columbia",2021-05-06,32.7474181,1.0826464,68.0242539,0,8.5899411
"283","NC","District of Columbia",2021-05-06,36.8551475,0.8736443,85.6291614,0.0592946,9.6647581
"284","ND","District of Columbia",2021-05-06,32.9773973,1.6872248,62.0676462,0,10.2490371
