,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
188,oh,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,12.3101389,0.4051896,6575.001,state,fb-survey
189,ok,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,11.3824581,0.6994129,2061.9993,state,fb-survey
190,or,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,14.0027675,0.6269944,3063.1692,state,fb-survey
191,pa,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,10.8947223,0.3645187,7306.0035,state,fb-survey
192,ri,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,15.2530906,1.372722,685.988,state,fb-survey
193,sc,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,8.3449497,0.5146254,2888.003,state,fb-survey
194,sd,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,10.8460612,1.2225276,646.9865,state,fb-survey
195,tn,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,11.1198309,0.5315293,3498.2323,state,fb-survey
196,tx,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,10.4824281,0.3001471,10416.0216,state,fb-survey
197,ut,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,14.3828091,0.8997399,1521.1454,state,fb-survey
198,va,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,10.6834032,0.4428888,4864.6599,state,fb-survey
199,vt,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,14.2201465,1.4615926,571.0008,state,fb-survey
200,wa,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,12.1533515,0.4698115,4836.9755,state,fb-survey
201,wi,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,10.588136,0.5168448,3544.0049,state,fb-survey
202,wv,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,12.1068672,0.8865093,1354.0046,state,fb-survey
203,wy,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,8.691363,1.3984795,405.7771,state,fb-survey
204,ak,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,14.9356061,1.6201777,484.0,state,fb-survey
205,al,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,12.0930609,0.7148966,2080.0458,state,fb-survey
206,ar,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,13.2526709,0.89495,1435.3638,state,fb-survey
207,az,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,10.1984651,0.499035,3677.5329,state,fb-survey
208,ca,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,9.9021238,0.2509189,14170.2048,state,fb-survey
209,co,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,9.1919519,0.5082026,3231.9031,state,fb-survey
210,ct,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,8.752739,0.5792865,2380.0,state,fb-survey
211,dc,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,7.9479057,1.6491762,269.0,state,fb-survey
212,de,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,11.9305198,1.2260377,699.0,state,fb-survey
213,fl,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,8.8958803,0.2761453,10627.9997,state,fb-survey
214,ga,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,9.7887016,0.4877431,3711.9633,state,fb-survey
215,hi,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,7.8973874,1.0072056,717.0,state,fb-survey
